time,best,sol,weight
57571,0.443272,0.7875,0
286579,0.722329,0.935,352.8
521176,0.748351,0.93125,417.9
747887,0.757451,0.9425,408.9
978026,0.767231,0.94125,432.1
1216281,0.775211,0.94125,448.7
1453556,0.784662,0.95,445.9
1681185,0.795573,0.955,455.1
1899934,0.804073,0.96,459.7
2116923,0.807097,0.96125,462.6
2344307,0.807097,0.96125,462.6
2570513,0.815274,0.9625,475.6
2792076,0.815274,0.9625,475.6
3014923,0.816535,0.9625,478.1
3233683,0.817679,0.96375,477.2
3460221,0.818782,0.9625,482.5
3678134,0.818782,0.9625,482.5
3896479,0.818782,0.9625,482.5
4134023,0.818981,0.965,476.6
4357552,0.818981,0.965,476.6
4582034,0.818981,0.965,476.6
4820149,0.818981,0.965,476.6
5047244,0.818981,0.965,476.6
5271535,0.820369,0.965,479.3
5498808,0.820369,0.965,479.3
5745056,0.820369,0.965,479.3
5985774,0.820369,0.965,479.3
6208312,0.820935,0.965,480.4
6427810,0.821066,0.96375,483.8
6655987,0.821891,0.96125,491.7
6880197,0.822457,0.96375,486.5
7108083,0.822839,0.965,484.1
7343478,0.822839,0.965,484.1
7576782,0.822839,0.965,484.1
7812273,0.822839,0.965,484.1
8032771,0.822839,0.965,484.1
8246510,0.822839,0.965,484.1
8474557,0.822839,0.965,484.1
8693631,0.822986,0.9675,478.1
8928695,0.823815,0.9675,479.7
9148926,0.823815,0.9675,479.7
9369431,0.827525,0.97,480.5
9594298,0.828754,0.97,482.9
9831336,0.828754,0.97,482.9
10041850,0.828754,0.97,482.9
10273841,0.828754,0.97,482.9
10510237,0.828754,0.97,482.9
10735101,0.828833,0.96875,486.2
10955081,0.828833,0.96875,486.2
11188156,0.828833,0.96875,486.2
11419818,0.829141,0.975,463.7
11651575,0.829141,0.975,463.7
11885495,0.829141,0.975,463.7
12116325,0.830434,0.9775,459.9
12341081,0.830434,0.9775,459.9
12579081,0.830434,0.9775,459.9
12815224,0.830434,0.9775,459.9
13050371,0.830434,0.9775,459.9
13288722,0.834845,0.98,454.3
13523307,0.834845,0.98,454.3
13750504,0.834845,0.98,454.3
13978588,0.834845,0.98,454.3
14212800,0.834845,0.98,454.3
14474080,0.834845,0.98,454.3
14716324,0.834845,0.98,454.3
14952986,0.836285,0.98,457.1
15195160,0.836285,0.98,457.1
15428060,0.836285,0.98,457.1
15665644,0.837671,0.97875,462.9
15895369,0.837671,0.97875,462.9
16111385,0.837671,0.97875,462.9
16335370,0.837671,0.97875,462.9
16547621,0.837671,0.97875,462.9
16770465,0.837671,0.97875,462.9
17013521,0.837671,0.97875,462.9
17242448,0.837671,0.97875,462.9
17467810,0.837671,0.97875,462.9
17691758,0.837671,0.97875,462.9
17957603,0.837671,0.97875,462.9
18210361,0.838856,0.97625,471.5
18460541,0.842666,0.9775,468
18708106,0.842666,0.9775,468
18961658,0.842666,0.9775,468
19211142,0.842666,0.9775,468
19476634,0.842666,0.9775,468
19754862,0.842666,0.9775,468
20016791,0.842666,0.9775,468
20291490,0.842666,0.9775,468
20534353,0.842666,0.9775,468
20756518,0.842666,0.9775,468
21029692,0.842666,0.9775,468
21262690,0.842666,0.9775,468
21497226,0.842666,0.9775,468
21736689,0.842666,0.9775,468
21971413,0.842666,0.9775,468
22191611,0.842666,0.9775,468
22422033,0.842666,0.9775,468
22656650,0.842666,0.9775,468
22875832,0.842666,0.9775,468
23087867,0.842666,0.9775,468
23321283,0.842666,0.9775,468
23552780,0.842666,0.9775,468
23780465,0.842666,0.9775,468
24015528,0.842666,0.9775,468
24247706,0.842666,0.9775,468
24473793,0.842666,0.9775,468
24698266,0.842666,0.9775,468
24923313,0.842666,0.9775,468
25136517,0.842666,0.9775,468
25386271,0.843444,0.9775,469.5
25612540,0.845466,0.97625,476.4
25833010,0.845466,0.97625,476.4
26081626,0.845466,0.97625,476.4
26309227,0.845466,0.97625,476.4
26551275,0.84624,0.97875,471.6
26775569,0.84624,0.97875,471.6
27000622,0.84624,0.97875,471.6
27232962,0.84624,0.97875,471.6
27479107,0.846498,0.97875,472.1
