time,best,sol,weight
7222,0.504674,0.86,0
24351,0.745447,0.96,342
53127,0.815051,0.98,434
83846,0.815051,0.98,434
112096,0.815051,0.98,434
153867,0.815051,0.98,434
191187,0.815051,0.98,434
247448,0.815051,0.98,434
278542,0.815051,0.98,434
304476,0.815051,0.98,434
329493,0.815051,0.98,434
355459,0.815051,0.98,434
428272,0.836617,0.98,476
452819,0.843396,0.98,489
479774,0.843396,0.98,489
504678,0.843396,0.98,489
531935,0.843396,0.98,489
557964,0.843396,0.98,489
581503,0.843396,0.98,489
606986,0.843396,0.98,489
632630,0.843396,0.98,489
663029,0.843396,0.98,489
688518,0.849361,0.96,551
714313,0.849361,0.96,551
750645,0.849361,0.96,551
774506,0.855513,0.98,512
798860,0.855513,0.98,512
825031,0.855513,0.98,512
853531,0.866716,1,407
880648,0.866716,1,407
911296,0.883939,1,438
937853,0.883939,1,438
964819,0.883939,1,438
989858,0.883939,1,438
1019142,0.883939,1,438
1043087,0.883939,1,438
1072385,0.883939,1,438
1096390,0.883939,1,438
1123580,0.883939,1,438
1151469,0.883939,1,438
1181229,0.883939,1,438
1212110,0.883939,1,438
1239342,0.883939,1,438
1267687,0.883939,1,438
1294704,0.883939,1,438
1317897,0.883939,1,438
1343446,0.883939,1,438
1368701,0.896355,1,460
1396413,0.896355,1,460
1418226,0.896355,1,460
1446276,0.896355,1,460
1519174,0.896355,1,460
1547328,0.896355,1,460
1573549,0.896355,1,460
1597708,0.896355,1,460
1623785,0.896355,1,460
1650306,0.896355,1,460
1675202,0.896355,1,460
1704021,0.896355,1,460
1730486,0.896355,1,460
1756091,0.896355,1,460
1779314,0.896355,1,460
1806589,0.896355,1,460
1832180,0.896355,1,460
1859060,0.896355,1,460
1885191,0.896355,1,460
1912134,0.896355,1,460
1937754,0.896355,1,460
1966158,0.896355,1,460
1991070,0.896355,1,460
2019658,0.896355,1,460
2044817,0.896355,1,460
2067891,0.896355,1,460
2095349,0.896355,1,460
2121236,0.896355,1,460
2147740,0.896355,1,460
2169941,0.896355,1,460
2197312,0.896355,1,460
2223200,0.896355,1,460
2250761,0.896355,1,460
2275792,0.896355,1,460
2303562,0.896355,1,460
2329324,0.896355,1,460
2354470,0.896355,1,460
2381230,0.896355,1,460
2405334,0.896355,1,460
2433074,0.896355,1,460
2459466,0.896355,1,460
2486403,0.896355,1,460
2512653,0.896355,1,460
2589194,0.896355,1,460
2614217,0.896355,1,460
2638534,0.896355,1,460
2665951,0.896355,1,460
2693026,0.896355,1,460
2717575,0.896355,1,460
2744568,0.896355,1,460
2773362,0.896355,1,460
2799165,0.896355,1,460
2826935,0.896355,1,460
2853106,0.896355,1,460
2879851,0.896355,1,460
2904484,0.896355,1,460
2930921,0.896355,1,460
2955430,0.896355,1,460
2980293,0.896355,1,460
3007858,0.896355,1,460
3034905,0.896355,1,460
3060702,0.896355,1,460
3087755,0.896355,1,460
3114214,0.896355,1,460
3143773,0.896355,1,460
3169389,0.896355,1,460
3194791,0.896355,1,460
3220125,0.896355,1,460
3243688,0.896355,1,460
3269517,0.896355,1,460
3295212,0.896355,1,460
3321916,0.896355,1,460
3347531,0.896355,1,460
3374724,0.896355,1,460
3403936,0.896355,1,460
3431939,0.896355,1,460
3459600,0.896355,1,460
3484946,0.896355,1,460
3510863,0.896355,1,460
3538185,0.896355,1,460
3564016,0.896355,1,460
3589578,0.896355,1,460
3615689,0.896355,1,460
3682812,0.896355,1,460
3708183,0.896355,1,460
3732859,0.896355,1,460
3758775,0.896355,1,460
3785948,0.896355,1,460
3811506,0.896355,1,460
3838976,0.896355,1,460
3864656,0.896355,1,460
3889191,0.896355,1,460
3916838,0.896355,1,460
3941967,0.896355,1,460
3967438,0.896355,1,460
3993053,0.896355,1,460
4022266,0.896355,1,460
4049437,0.896355,1,460
4075616,0.896355,1,460
4099692,0.896355,1,460
4126514,0.896355,1,460
4153992,0.896355,1,460
4185757,0.896355,1,460
4212166,0.896355,1,460
4238973,0.896355,1,460
4268924,0.896355,1,460
4295109,0.896355,1,460
4322693,0.896355,1,460
4347420,0.896355,1,460
4374843,0.896355,1,460
4401453,0.896355,1,460
4431260,0.896355,1,460
4456922,0.896355,1,460
4485398,0.896355,1,460
4512575,0.896355,1,460
4537758,0.896355,1,460
4562677,0.896355,1,460
4589259,0.896355,1,460
4614682,0.896355,1,460
4641036,0.896355,1,460
4667332,0.896355,1,460
4697980,0.896355,1,460
4725793,0.896355,1,460
4772785,0.896355,1,460
4798639,0.896355,1,460
4830634,0.896355,1,460
4858733,0.896355,1,460
4882590,0.910088,1,484
4911735,0.910088,1,484
4938208,0.910088,1,484
4967313,0.910088,1,484
4996980,0.910088,1,484
5022859,0.910088,1,484
5051220,0.910088,1,484
5076621,0.910088,1,484
5102043,0.910088,1,484
5128793,0.910088,1,484
5155906,0.910088,1,484
5181352,0.910088,1,484
5208282,0.910088,1,484
5233815,0.910088,1,484
5260929,0.910088,1,484
5287490,0.910088,1,484
5314523,0.910088,1,484
5338669,0.910088,1,484
5366216,0.910088,1,484
5393425,0.910088,1,484
5419504,0.910088,1,484
5445760,0.910088,1,484
5471347,0.910088,1,484
5502192,0.910088,1,484
5527886,0.910088,1,484
5556299,0.910088,1,484
