time,best,sol,weight
32372,0.504675,0.86,0
188849,0.777775,0.968,381.9
331389,0.781575,0.962,412
483498,0.809819,0.97,440.6
626977,0.815308,0.972,438.9
767434,0.827985,0.98,428.6
908611,0.832689,0.98,437.7
1047147,0.837134,0.984,436.4
1192186,0.837134,0.984,436.4
1343749,0.837134,0.984,436.4
1485059,0.843157,0.986,442.6
1624213,0.849246,0.99,428.8
1764164,0.858025,0.996,415.4
1902557,0.858025,0.996,415.4
2050570,0.858025,0.996,415.4
2195480,0.858025,0.996,415.4
2342465,0.858025,0.996,415.4
2494622,0.858025,0.996,415.4
2635609,0.858025,0.996,415.4
2773984,0.858025,0.996,415.4
2914573,0.858025,0.996,415.4
3055680,0.860357,0.998,407.4
3192541,0.865664,0.998,416.9
3338678,0.865664,0.998,416.9
3482121,0.865664,0.998,416.9
3629048,0.865664,0.998,416.9
3765169,0.865664,0.998,416.9
3905219,0.865664,0.998,416.9
4047869,0.865664,0.998,416.9
4191502,0.865664,0.998,416.9
4335483,0.869193,0.996,435.8
4476680,0.869193,0.996,435.8
4614411,0.869193,0.996,435.8
4752996,0.869193,0.996,435.8
4899012,0.869193,0.996,435.8
5043588,0.869193,0.996,435.8
5186206,0.869193,0.996,435.8
5327907,0.869193,0.996,435.8
5473868,0.869193,0.996,435.8
5617092,0.874423,0.998,433
5762366,0.874423,0.998,433
5902880,0.876139,0.998,436.1
6046744,0.876139,0.998,436.1
6185185,0.876139,0.998,436.1
6321698,0.876139,0.998,436.1
6462244,0.878633,0.998,440.5
6606096,0.878633,0.998,440.5
6747787,0.878633,0.998,440.5
6892840,0.878633,0.998,440.5
7033369,0.879473,0.998,442
7173318,0.879639,0.998,442.3
7315360,0.879639,0.998,442.3
7452438,0.879639,0.998,442.3
7595326,0.884569,0.998,451
7744859,0.884569,0.998,451
7887046,0.88565,1,440.6
8025894,0.88565,1,440.6
8165360,0.88565,1,440.6
8314165,0.88565,1,440.6
8457768,0.88565,1,440.6
8603715,0.885817,0.998,453.4
8744231,0.885817,0.998,453.4
8884086,0.886532,0.998,454.7
9031314,0.886532,0.998,454.7
9172934,0.886532,0.998,454.7
9314949,0.886588,0.998,454.8
9459631,0.886588,0.998,454.8
9601943,0.888653,0.998,458.5
9744029,0.888653,0.998,458.5
9882390,0.888653,0.998,458.5
10015687,0.888653,0.998,458.5
10156224,0.888653,0.998,458.5
10301634,0.888653,0.998,458.5
10443857,0.892173,0.998,465.1
10579663,0.892173,0.998,465.1
10718495,0.892173,0.998,465.1
10863994,0.892173,0.998,465.1
11011616,0.892173,0.998,465.1
11151863,0.892173,0.998,465.1
11291181,0.892173,0.998,465.1
11431142,0.892173,0.998,465.1
11571501,0.892173,0.998,465.1
11713663,0.892173,0.998,465.1
11858418,0.892173,0.998,465.1
12000623,0.892173,0.998,465.1
12144032,0.892173,0.998,465.1
12300069,0.892173,0.998,465.1
12442948,0.892173,0.998,465.1
12584204,0.892173,0.998,465.1
12727466,0.892173,0.998,465.1
12869013,0.892173,0.998,465.1
13009207,0.892173,0.998,465.1
13155029,0.893177,0.998,466.9
13294826,0.893177,0.998,466.9
13438399,0.893177,0.998,466.9
13576214,0.893177,0.998,466.9
13711138,0.893177,0.998,466.9
13850760,0.893737,0.998,467.9
13987392,0.893737,0.998,467.9
14131328,0.893737,0.998,467.9
14271939,0.893737,0.998,467.9
14411470,0.893737,0.998,467.9
14552929,0.893737,0.998,467.9
14693431,0.893737,0.998,467.9
14836700,0.893737,0.998,467.9
14978396,0.89811,0.998,475.5
15117120,0.89811,0.998,475.5
15262478,0.89811,0.998,475.5
15405070,0.89811,0.998,475.5
15585866,0.89811,0.998,475.5
15726722,0.89811,0.998,475.5
15868756,0.89811,0.998,475.5
16014181,0.89811,0.998,475.5
16157855,0.89811,0.998,475.5
16294275,0.89811,0.998,475.5
16435239,0.89811,0.998,475.5
16574312,0.89811,0.998,475.5
16722563,0.89811,0.998,475.5
16861253,0.89811,0.998,475.5
17005525,0.89811,0.998,475.5
17143380,0.89811,0.998,475.5
17284687,0.89811,0.998,475.5
17424973,0.89811,0.998,475.5
17568017,0.89811,0.998,475.5
17745326,0.898902,0.998,476.9
17884703,0.898902,0.998,476.9
18027364,0.898902,0.998,476.9
18166979,0.898902,0.998,476.9
18304552,0.898902,0.998,476.9
18441737,0.898902,0.998,476.9
18577041,0.898902,0.998,476.9
18725297,0.898902,0.998,476.9
18863802,0.898902,0.998,476.9
19005444,0.898902,0.998,476.9
19142120,0.898902,0.998,476.9
19291584,0.898902,0.998,476.9
19428887,0.898902,0.998,476.9
19572886,0.898902,0.998,476.9
19713966,0.898902,0.998,476.9
19854307,0.898902,0.998,476.9
19996004,0.898902,0.998,476.9
20140566,0.898902,0.998,476.9
20281896,0.898902,0.998,476.9
20424250,0.901534,0.998,481.5
20568269,0.901534,0.998,481.5
20705191,0.901534,0.998,481.5
20854543,0.901534,0.998,481.5
20997299,0.901534,0.998,481.5
21140155,0.901534,0.998,481.5
21281380,0.901534,0.998,481.5
21416608,0.901534,0.998,481.5
21565308,0.901534,0.998,481.5
21707523,0.901534,0.998,481.5
21844236,0.901534,0.998,481.5
21986426,0.905145,1,475.2
22130179,0.905145,1,475.2
22268081,0.905145,1,475.2
22410266,0.90707,1,478.6
22548130,0.90707,1,478.6
22687368,0.90707,1,478.6
22833153,0.90707,1,478.6
22968949,0.90707,1,478.6
23112765,0.90707,1,478.6
